stop_id,agency_id,stop_name
10,SEPTA,Roosevelt Blvd & Woodward St
1003,SEPTA,Oak Lane & Cheltenham Av
1006,SEPTA,Frankford Av & Princeton Av
1007,SEPTA,Frankford Av & Knorr St
1008,SEPTA,Cottman Av & Oxford Av
1009,SEPTA,Cottman Av & Summerdale Av
101,SEPTA,Pier 70 WalMart & Home Depot
1013,SEPTA,Cottman Av & Roosevelt Blvd
1014,SEPTA,Cottman Av & Ditman St
1016,SEPTA,State Rd & Rhawn St
10185,SEPTA,Malvern Av & 65th St
10188,SEPTA,Malvern Av & 64th St - MBFS
10189,SEPTA,Malvern Av & Wynnewood Rd
1019,SEPTA,State Rd & Rhawn St
10200,SEPTA,Manayunk Av & Hermit St
10201,SEPTA,Manayunk Av & Kingsley St
10205,SEPTA,Manayunk Av & Monastery Av
10206,SEPTA,Manayunk Av & Pennsdale St
10207,SEPTA,Manayunk Av & Rector St
10208,SEPTA,Manayunk Av & Ridge Av
10209,SEPTA,Manayunk Av & Roxborough Av
1021,SEPTA,Cottman Av & Ditman St
10210,SEPTA,Manayunk Av & Salaignac St
10211,SEPTA,Manayunk Av & Seville St
1023,SEPTA,Cottman Av & Roosevelt Blvd
1024,SEPTA,Cottman Av & Bustleton Av - FS
1025,SEPTA,Cottman Av & Loretto Av
10255,SEPTA,Market St & 10th St
10257,SEPTA,Market St & 10th St
10258,SEPTA,Market St & 11th St
10259,SEPTA,Market St & 11th St - MBNS
10262,SEPTA,Market St & 12th St
10263,SEPTA,Market St & 13th St
10264,SEPTA,Market St & 13th St
10266,SEPTA,Market St & 15th St
1027,SEPTA,Cottman Av & Whitaker Av - FS
10272,SEPTA,Market St & 18th St
10275,SEPTA,Market St & 19th St
10279,SEPTA,Market St & 21st St
1028,SEPTA,Cottman Av & Oxford Av
10281,SEPTA,Market St & 22nd St
10282,SEPTA,Market St & 23rd St
10283,SEPTA,Market St & 23rd St
10285,SEPTA,Market St & 24th St
10288,SEPTA,Market St & 2nd St
1029,SEPTA,Central Av & Cottman Av - FS
103,SEPTA,Oregon Av & Broad St
1030,SEPTA,Oak Lane Rd & Valley Rd
10311,SEPTA,Market St & 4th St
1032,SEPTA,Bridge St & Thompson St
10329,SEPTA,Market St & 6th St
10331,SEPTA,Market St & 7th St
10338,SEPTA,Market St & 8th St
10340,SEPTA,Market St & 9th St
10341,SEPTA,Market St & 9th St
1036,SEPTA,Bridge St & Thompson St
1037,SEPTA,Richmond St & Westmoreland St - FS
1041,SEPTA,Wyoming Av & 5th St
1042,SEPTA,Wyoming Av & Broad St
1045,SEPTA,Wyoming Av & Broad St
1046,SEPTA,Wyoming Av & 5th St
1047,SEPTA,Wyoming Av & Castor Av - MBNS
10485,SEPTA,McNulty Rd & Southampton Rd
105,SEPTA,Oregon Av & 24th St
1051,SEPTA,Willow Grove Av & Wyndmoor St - FS
1053,SEPTA,Township Line Rd & Greenwood Av - FS
1055,SEPTA,Cadwalader Av & Township Line Rd
1056,SEPTA,Cottman Av & Bustleton Av
1058,SEPTA,St Vincent St & Roosevelt Blvd
106,SEPTA,22nd St & Washington Av
1060,SEPTA,Township Line Rd & Cadwalader Av
10610,SEPTA,Middletown Rd & Bonsall Dr
