stop_id,agency_id,route_id
10,SEPTA,1
10,SEPTA,14
1003,SEPTA,70
1006,SEPTA,66
1007,SEPTA,66
1008,SEPTA,70
1008,SEPTA,77
1009,SEPTA,70
1009,SEPTA,77
101,SEPTA,25
101,SEPTA,29
101,SEPTA,64
101,SEPTA,7
1013,SEPTA,70
1013,SEPTA,77
1014,SEPTA,70
1016,SEPTA,70
10185,SEPTA,105
10185,SEPTA,65
10188,SEPTA,105
10188,SEPTA,65
10189,SEPTA,105
10189,SEPTA,65
1019,SEPTA,70
1019,SEPTA,84
10200,SEPTA,27
10201,SEPTA,27
10205,SEPTA,27
10206,SEPTA,27
10207,SEPTA,27
10208,SEPTA,27
10209,SEPTA,27
1021,SEPTA,70
1021,SEPTA,88S
10210,SEPTA,27
10211,SEPTA,27
1023,SEPTA,70
1024,SEPTA,70
1024,SEPTA,77
1025,SEPTA,70
1025,SEPTA,77
10255,SEPTA,17
10255,SEPTA,33
10255,SEPTA,44
10255,SEPTA,48
10255,SEPTA,62
10257,SEPTA,17
10257,SEPTA,33
10258,SEPTA,17
10258,SEPTA,33
10258,SEPTA,711
10258,SEPTA,78
10259,SEPTA,17
10259,SEPTA,33
10259,SEPTA,44
10259,SEPTA,48
10259,SEPTA,62
10259,SEPTA,711
10259,SEPTA,78
10262,SEPTA,17
10262,SEPTA,33
10262,SEPTA,38
10262,SEPTA,44
10262,SEPTA,62
10263,SEPTA,17
10263,SEPTA,33
10263,SEPTA,44
10263,SEPTA,48
10263,SEPTA,62
10263,SEPTA,711
10264,SEPTA,17
10264,SEPTA,33
10264,SEPTA,711
10266,SEPTA,124
10266,SEPTA,125
10266,SEPTA,17
10266,SEPTA,31
10266,SEPTA,32
10266,SEPTA,33
10266,SEPTA,331
10266,SEPTA,38
10266,SEPTA,44
10266,SEPTA,48
10266,SEPTA,62
10266,SEPTA,701
10266,SEPTA,711
10266,SEPTA,78
1027,SEPTA,67
1027,SEPTA,70
1027,SEPTA,77
10272,SEPTA,124
10272,SEPTA,125
10272,SEPTA,17
10272,SEPTA,31
10272,SEPTA,32
10272,SEPTA,33
10272,SEPTA,331
10272,SEPTA,38
10272,SEPTA,44
10272,SEPTA,48
10272,SEPTA,62
10275,SEPTA,124
10275,SEPTA,125
10275,SEPTA,17
10275,SEPTA,31
10275,SEPTA,38
10275,SEPTA,44
10275,SEPTA,48
10275,SEPTA,62
10275,SEPTA,78
10279,SEPTA,124
