subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:10:00Z,6,11.326,14.342166666666667,25.668166666666668,17.156696243741102,7.433591686840667,24.176244666338626,8.4725,21.6215,25.08725
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:30:00Z,9,2.9152222222222224,24.053333333333335,26.968555555555554,8.593590573470697,14.83801001650828,12.654987229459293,8.220799999999999,40.320599999999985,47.0958
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:00:00Z,15,13.522333333333334,17.261466666666667,30.7838,19.83339891145621,13.362703072714137,25.42520412672658,6.752200000000001,35.422,43.48399999999999
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:10:00Z,10,7.6179,26.6049,34.2228,12.418511795344525,10.743207222861026,10.651653745363257,13.1051,39.9539,41.28545
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:20:00Z,10,34.7732,24.3112,59.0844,38.048246441707256,13.408765630487146,35.184516456342934,19.721800000000002,26.42119999999999,44.04859999999996
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:30:00Z,18,23.965055555555555,18.334722222222222,42.29977777777778,25.16095357416801,12.937791659937476,23.592410199183462,3.751,32.148900000000005,39.27614999999998
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:50:00Z,20,29.29705,13.7208,43.01785,22.06825832794576,10.661874865243227,24.970421205635322,4.1146,30.492300000000007,34.17345000000001
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T17:10:00Z,23,21.073826086956522,15.625,36.69882608695652,26.943346894501996,12.069762749042825,27.1166383469837,3.9956000000000005,30.521000000000008,32.451499999999996
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T17:30:00Z,5,13.5512,21.9284,35.4796,6.330683549191193,12.831702548765692,9.964762857188322,11.3142,34.56759999999999,38.70179999999999
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T17:40:00Z,12,9.511166666666666,21.913083333333333,31.42425,13.106567665475847,8.3379581374288,15.194018937637033,11.4997,31.1998,34.10069999999999
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T17:50:00Z,9,4.989,21.238333333333333,26.227333333333334,10.723447276878831,2.264237399214137,11.17696788042267,19.084799999999998,22.5964,23.5852
23rd to Broad,direction-0,2,6066,22nd St - FS,2021-01-01T15:00:00Z,11,58.487545454545455,21.043,79.53054545454546,15.980683410690775,12.201389330727874,15.620536395166694,12.049,42.184,44.004999999999995
23rd to Broad,direction-0,2,6066,22nd St - FS,2021-01-01T15:10:00Z,31,40.13432258064516,26.797193548387096,66.93151612903226,22.82766565870909,16.669575304366845,27.232920324331687,4.341,45.059,49.456
23rd to Broad,direction-0,2,6066,22nd St - FS,2021-01-01T15:20:00Z,16,32.5090625,46.0386875,78.54775000000001,25.38868644486818,25.022676016548804,34.2408670129715,20.383499999999998,74.8675,82.458
23rd to Broad,direction-0,2,6066,22nd St - FS,2021-01-01T15:30:00Z,31,31.86216129032258,27.072451612903226,58.934612903225805,22.308537492922262,16.236444639223844,28.629231372471295,4.059,48.024,48.6455
23rd to Broad,direction-0,2,6066,22nd St - FS,2021-01-01T15:40:00Z,14,38.68857142857143,35.35957142857143,74.04814285714286,12.065593432530406,20.24424417995353,20.57113529217071,16.4256,64.58280000000003,73.15549999999999
23rd to Broad,direction-0,2,6066,22nd St - FS,2021-01-01T15:50:00Z,23,52.27056521739131,33.00908695652174,85.27965217391305,17.01582675528897,21.483263652758,24.02323704932504,12.6,71.2248,72.3519
