subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:00:00Z,9,16.13222222222222,33.28788888888889,49.42011111111111,23.748717411566552,21.879576963714616,29.664869641734665,23.7438,43.10679999999996,67.12839999999998
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:10:00Z,11,13.421272727272727,32.779909090909094,46.20118181818182,21.845736573029114,11.113542337657652,21.98343408486573,25.641,46.33,52.8995
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:20:00Z,8,12.683375,31.24675,43.930125000000004,20.61357967760573,3.56880847462727,20.382908922060167,27.344300000000004,34.781,36.5205
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:30:00Z,10,8.5398,28.400299999999998,36.9401,9.703608570469488,3.884121294879104,11.183274947189862,23.5813,31.762299999999996,33.99565
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:40:00Z,10,14.1562,33.9686,48.1248,20.16785009640619,12.319746157197306,26.7556494088424,25.787799999999997,44.44569999999999,55.19934999999998
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:50:00Z,12,10.558666666666667,35.22225,45.78091666666667,18.492120269471698,12.161237475348395,24.2563596888746,27.208499999999997,41.6645,54.83044999999998
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:00:00Z,10,8.3472,24.9589,33.3061,17.05147556860305,2.013406314902407,18.620584574007815,23.1254,26.7148,28.068399999999997
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:10:00Z,7,3.923428571428571,31.831857142857142,35.75528571428571,8.248546414513344,12.416916826498857,13.192559477653626,25.107799999999997,42.30180000000001,50.843399999999974
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:20:00Z,10,3.1021,30.9526,34.054700000000004,4.4381760129835115,4.95905880855094,7.103789693615028,25.9287,35.5148,38.393899999999995
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:30:00Z,11,5.958,29.886909090909093,35.84490909090909,7.989124370042064,4.5112077197696285,10.55831962439616,24.907,34.293,36.6295
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:40:00Z,12,15.5535,30.7995,46.353,14.871029667230053,4.796351501638796,14.2572941076744,24.8178,36.450399999999995,37.5706
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:50:00Z,10,4.9553,30.946099999999998,35.9014,9.982499665247513,7.332785940933744,16.205623538348245,24.513399999999997,38.093199999999996,41.98209999999999
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:00:00Z,10,12.0762,36.8756,48.9518,16.527832699217804,13.022854732268872,18.540118265234685,28.991500000000002,43.27139999999999,57.76319999999996
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:10:00Z,11,14.888272727272726,32.34909090909091,47.23736363636364,15.45973767624088,5.33659718274755,17.411753376801126,27.2,36.566,39.8935
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:20:00Z,10,16.4503,27.5271,43.9774,17.901449805035966,7.32629904218737,22.824535887699643,22.6773,36.2235,40.73024999999999
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:30:00Z,11,6.067181818181818,32.854,38.92118181818182,9.742700311701903,5.462957093003752,12.611519954535074,27.953,37.517,40.620000000000005
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:40:00Z,10,6.1959,31.6755,37.8714,13.743019007239033,6.033100681518031,14.03210800826289,26.619500000000002,40.5644,41.038700000000006
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:50:00Z,10,8.5381,33.1098,41.6479,10.104050776792445,9.516769407501455,16.064570557942442,26.5825,43.1372,49.68559999999999
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:00:00Z,9,14.452666666666666,23.296333333333333,37.749,9.589738487049582,13.236088819964907,15.178807108926577,15.9488,44.89619999999999,47.03059999999999
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:10:00Z,11,16.318272727272728,23.84790909090909,40.16618181818182,13.382610216926361,10.593423841747722,21.93421325153096,17.558,27.999,41.077999999999996
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:20:00Z,8,13.259625,22.7475,36.007125,8.936834066099694,12.151376488753387,17.900111910563975,16.5206,32.5517,42.333849999999984
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:30:00Z,10,12.3802,21.9078,34.288,10.183732843227096,8.297770487707325,14.820862053200548,17.0364,24.68409999999999,34.76454999999997
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:40:00Z,10,14.5698,16.9605,31.5303,10.545921010303251,1.9860910379716008,10.093109905607223,16.1843,17.940399999999997,20.016699999999993
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:50:00Z,12,15.09675,27.04625,42.143,9.574469034649104,14.070212197954035,17.002710265238196,18.475499999999997,51.4377,52.1117
