subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:00:00Z,8,8.579875,17.410375,25.99025,17.228660725973864,10.931354770795794,20.288633311360755,6.181,26.028599999999997,33.63829999999999
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:20:00Z,14,24.608714285714285,32.0815,56.69021428571428,48.352371195421014,2.742349462946522,48.49352308882016,28.3196,34.4154,35.67895
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:30:00Z,3,32.212,40.79866666666667,73.01066666666667,28.676656830948758,2.4083617530041748,31.074002274141222,38.80159999999999,42.58560000000001,42.743300000000005
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:40:00Z,5,22.6244,32.1988,54.8232,13.08568333332272,10.254374271499945,6.759096700003633,22.3702,42.986599999999996,44.4408
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T15:50:00Z,8,22.33225,20.087375,42.419625,14.902174661533703,5.7100378517009105,18.38511515125755,15.771700000000003,23.5766,24.189799999999998
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:00:00Z,12,23.108083333333333,30.06825,53.17633333333333,7.457773351078766,18.714689772888423,20.271083589161876,15.950000000000001,36.55200000000001,57.61844999999997
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:10:00Z,4,18.2645,33.57275,51.83725,13.697864200913466,17.40866057215967,30.977843527000605,16.5984,46.2941,47.070049999999995
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:20:00Z,3,28.080333333333332,33.61633333333333,61.696666666666665,9.551221928807502,0.8767036747575159,10.380130362058713,32.9842,34.3458,34.4674
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:30:00Z,6,20.733666666666668,31.203,51.93666666666667,19.258744753141798,2.5914027089589906,19.582962285279176,28.587,34.0605,34.47575
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:40:00Z,7,19.907285714285713,30.861714285714285,50.769,14.583400628960376,13.389271422975009,22.331752170396303,18.0302,48.5816,49.8563
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T16:50:00Z,10,26.5225,41.5362,68.0587,12.20713032298018,12.9248964044849,20.20198313175109,28.2161,57.1827,63.274349999999984
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:00:00Z,10,30.959,35.875,66.834,13.217922554874752,4.227974009170612,15.468175185055138,32.982,39.37649999999999,42.86174999999999
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:10:00Z,4,24.40625,22.423750000000002,46.83,27.78862627497084,5.054754156567194,31.64803573683523,18.700400000000002,27.259700000000002,28.45385
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:20:00Z,5,7.9708000000000006,34.1004,42.0712,8.598440422541753,32.562928381827085,40.930398491830005,8.574,70.66019999999999,76.28059999999999
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:30:00Z,13,16.675384615384615,36.167307692307695,52.84269230769231,10.512405485413108,10.826225430135036,17.257568819625277,26.075,51.0312,52.861799999999995
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:40:00Z,3,27.490333333333332,38.908,66.39833333333334,25.999059489399485,14.927048435641924,17.16002227077032,29.565999999999995,51.181999999999995,53.63249999999999
2nd to Broad,direction-1,2,20972,3rd St - FS,2021-01-01T17:50:00Z,6,28.578833333333336,15.094,43.67283333333333,7.636647678573804,9.455875802906888,11.783801481977989,6.5649999999999995,26.215,27.828
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:00:00Z,8,15.868125000000001,12.832875,28.701,13.100702908486573,6.498162716986131,16.41792914555826,5.2466,19.810399999999998,21.734699999999997
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:20:00Z,14,16.625214285714286,19.5725,36.197714285714284,6.251310203328719,3.293960925227116,6.977903635251575,15.029499999999999,23.274700000000003,23.662
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:30:00Z,3,19.132333333333335,17.534333333333333,36.666666666666664,25.112307865533452,0.3804738273959648,25.338870561517403,17.2268,17.754,17.754
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:40:00Z,5,18.3478,21.8412,40.189,12.479231975566446,7.146972694784835,16.55305733089812,14.8762,25.7564,25.7632
2nd to Broad,direction-1,3,20973,4th St - MBFS,2021-01-01T15:50:00Z,8,25.872125,14.79075,40.662875,23.120092841122908,11.291047563066439,28.490271940924973,6.924600000000001,26.510199999999998,33.12309999999999
